word,han,ham,hun,hende
bekymre,-1.6526045801273126,0.0,0.0,0.0
bekymrede,0.629119260909016,1.311020848105761,0.0,0.0
bekymrer,1.9734234296621291,0.2275767809108228,1.185816471528956,0.0
bekymret,0.7344797765668422,0.0,0.0,0.0
bekymringer,0.0,0.0,-0.044870545267211986,0.0
bekæmpe,0.0,1.1614891141347974,0.0,0.0
bekæmpede,2.7821726199320977,0.0,0.0,0.0
belønne,1.7407187451039368,4.214379801528737,0.0,0.0
belønnede,0.0,4.968151603905118,0.0,0.0
belønner,1.1081961863604264,2.195562881665336,0.0,5.3757197622100605
bemærke,-0.1174157930689909,0.0,0.0,0.0
bemærkede,2.5929306202935694,2.2940029544785885,0.0,0.0
bemærker,1.5616705136549511,0.0,0.0,0.0
benytte,0.936345929433767,0.0,0.0,0.0
benyttede,2.7821726199320977,0.0,4.422313897746976,0.0
benytter,2.512509052982995,1.6539655992325915,0.0,0.0
benådet,1.2780952231558236,0.0,0.0,0.0
benægtede,3.5754032590490255,0.0,0.0,0.0
benægter,3.133570506769986,2.716859805298622,2.98195231535681,0.0
benægtet,2.6280219401048397,3.715388635409749,0.0,0.0
benævner,2.7821726199320977,0.0,0.0,0.0
benævnes,2.271346996166107,4.051860872030962,0.0,0.0
beordre,0.0,5.150473160699072,0.0,6.133405463907576
beordrede,3.6184206441327165,3.096349427003526,0.0,5.17789401888014
beordrer,2.0482034448518975,4.234182428824917,0.0,0.0
beordret,0.0,2.9532485833628526,0.0,0.0
berede,0.0,3.464074207128843,0.0,0.0
beregnede,2.7821726199320977,0.0,0.0,0.0
beretter,1.8013433669203718,0.0,0.0,0.0
berettet,0.0,5.661298784465062,0.0,0.0
beriget,0.0,2.5702563311067466,0.0,0.0
berolige,0.0,0.0,0.0,4.698320938618254
beror,0.0,3.3840314994553067,0.0,0.0
beruset,2.271346996166107,0.0,0.0,0.0
berøre,0.0,3.096349427003526,0.0,0.0
berører,1.2905177431543808,1.2792721497911808,2.237511840409314,3.3608167416677954
berørt,0.2834726480117614,2.0639865238766166,0.0,2.7592367546333407
berørte,0.0,1.972419330351126,0.0,0.0
berøve,0.0,3.6463957639227975,0.0,0.0
berøvede,0.0,4.968151603905118,0.0,0.0
besad,3.6045315319720492,0.0,0.0,0.0
