,word,frequency,han,ham,hun,hende
252,benævner,2,0.0,5.075410684922733,0.0,0.0
253,benævnes,8,2.39197672823527,0.0,0.0,0.0
254,benævnt,3,0.0,4.669945576814569,0.0,0.0
255,beordrede,15,3.49058901690338,3.7536548449404137,0.0,0.0
256,beordrer,8,3.2029069444515987,3.6891163238028426,0.0,0.0
257,beredt,39,0.8756292388671817,3.1535980874464804,0.0,0.0
258,beredte,11,0.0,0.0,3.904648601826203,0.0
259,beregnet,52,0.0,2.5104613274611967,0.0,0.0
260,beretter,62,2.055504491614057,2.3185703196510907,0.0,3.366417387730698
261,berettes,10,2.286616212577444,0.0,0.0,0.0
262,berettet,1,0.0,0.0,0.0,7.509552114122231
263,berolige,27,0.0,3.1658681800382946,0.0,4.213715248117902
264,berøre,36,0.0,2.1850389270265684,0.0,0.0
265,berører,58,0.0,0.0,0.0,3.4491091035758115
266,berørt,91,0.0353244139709487,0.0,1.7486669830240331,0.0
267,berørte,16,1.8166125833317084,0.0,0.0,0.0
268,besad,6,3.4905890169033795,0.0,0.0,0.0
269,besat,199,-0.7190663918297153,0.0,0.0,0.0
270,besejrede,19,3.03105668752494,0.0,0.0,0.0
271,besejrer,14,1.9501439759562311,0.0,0.0,0.0
272,besejres,6,0.0,3.976798396254624,0.0,0.0
273,besejret,41,0.8515316872881211,0.0,0.0,0.0
274,besidder,25,2.7566198418231798,0.0,3.083668049756373,0.0
275,besked,323,-1.2543431114598702,0.0,0.0,0.0
276,beskrev,38,2.619760659105982,0.0,0.0,0.0
277,beskrevet,131,0.0,1.5789031234562532,0.0,0.0
278,beskrive,183,0.0,1.6468143290724635,0.0,0.0
279,beskriver,315,2.4412174443384336,1.8014155608334528,2.489552249802607,0.0
280,beskrives,156,-0.5045488952352728,0.0,1.2087936738178116,0.0
281,beskylde,14,0.0,3.822647716427365,0.0,5.5636419650669175
282,beskylder,18,2.39197672823527,3.976798396254624,0.0,0.0
283,beskyldes,12,2.104294655783489,0.0,0.0,0.0
284,beskyldt,27,2.3919767282352704,2.472720999478349,0.0,0.0
285,beskyldte,4,0.0,4.382263504362788,0.0,0.0
286,beskytte,177,-0.5869484270023396,2.5383182819641625,1.1263941420507446,3.0265495621083467
287,beskyttede,29,2.6081998367049057,3.0944092160561496,0.0,0.0
288,beskyttende,72,0.3125351865554342,0.0,0.0,0.0
289,beskytter,84,1.5446788678480663,0.0,0.0,4.465029676398808
290,beskyttes,15,1.8811511044692797,0.0,0.0,0.0
291,beskyttet,51,0.0,2.5298794133182985,0.0,0.0
292,beskæftiger,27,1.2933644395671604,0.0,0.0,0.0
293,beskæftiget,27,0.0,0.0,0.0,4.213715248117902
294,besluttede,130,2.7173991286698977,0.901023415027096,3.380919573224305,0.0
295,beslutter,87,2.8958819091566874,0.0,1.8366357559699904,0.0
296,besluttet,126,-0.2470806013799885,0.0,0.0,0.0
297,besteg,5,3.6729105736973344,0.0,0.0,0.0
298,bestemme,239,0.0,1.3782324279941018,0.0,0.0
299,bestemmer,188,0.9463657899589599,0.5162844374360486,1.0502704465779442,0.0
300,bestemt,1026,-1.6598082195680346,0.0,0.0,0.0
301,bestemte,264,0.6226901148592738,0.8857559428963075,0.0,0.0
302,bestige,15,1.8811511044692797,0.0,0.0,0.0
303,bestille,19,0.0,2.6775154121243627,0.0,0.0
304,bestilte,6,2.7974418363434346,0.0,0.0,0.0
305,bestod,46,0.0,1.9399164689935835,0.0,0.0
306,bestået,9,2.286616212577444,0.0,0.0,0.0
307,består,428,-0.7837596039723129,-0.2975502246210692,0.2364357845208261,0.0
308,besvarede,3,3.4905890169033795,0.0,5.2039315859564645,0.0
309,besvimede,7,2.643291156516176,0.0,0.0,0.0
310,besvimer,6,2.7974418363434346,0.0,0.0,0.0
311,besøg,533,0.0,-0.5174402290261862,0.0,0.0
312,besøge,159,-0.4859725096623375,2.6392941993041648,0.0,2.4343782988884044
313,besøger,88,1.4981588522131737,2.9006589634385724,3.2115014212662585,0.0
314,besøgt,92,0.05660181241823368,1.2359583723294223,0.0,2.9769526209689747
315,besøgte,98,1.3905281880208082,3.2630319284919427,3.1038707570738926,3.617731816011605
316,betale,480,0.3489028307263091,0.6809615302502944,0.11633525072408026,1.3233434902217371
317,betaler,104,1.3120565725793127,2.491413132490502,1.639104780512507,0.0
318,betalt,107,0.0,1.7612246802502074,0.0,0.0
319,betalte,76,2.656363238083529,1.4378245251963473,0.0,3.1788187738358995
320,betegnede,8,3.2029069444515987,0.0,0.0,0.0
321,betegner,31,1.8483612816462889,2.3345706609975316,0.0,0.0
322,betegnes,24,1.4111474752235438,0.0,0.0,0.0
323,betjener,4,3.2029069444515987,4.382263504362788,0.0,0.0
324,betjente,10,2.979763393137389,4.159119953048578,0.0,0.0
325,betoner,10,3.6729105736973344,0.0,0.0,0.0
326,betragte,119,-0.18992218754003976,2.3757287334910395,2.2165675620729903,2.7304286210107014
327,betragtede,40,0.9003218514575532,3.1782907000368517,0.0,3.820672660008295
328,betragter,135,1.0702208882529507,0.863283087044249,1.3972690961861445,0.0
329,betragtet,72,0.0,0.0,2.0258777556085183,0.0
330,betroede,114,1.644762326405049,1.0323594170881831,0.0,3.4665008462876807
331,betroet,247,-0.2351044103332728,0.944252149577916,0.0,0.0
332,betror,58,3.0937076524866067,3.0944092160561496,2.9352480446380995,0.0
333,betvivler,7,0.0,0.0,4.356633725569259,0.0
334,betyde,295,-0.06475904458603382,1.625423139091146,0.0,1.7569794752965981
335,betyder,3135,-0.5576809887924803,0.896112416820469,-0.4024830377859459,0.11137802115176572
336,betydet,52,1.3311047675500076,1.8173141469012517,0.0,3.5583083955408035
337,betænkte,2,4.589201305571491,0.0,0.0,0.0
338,betød,297,0.0,2.0073577497891164,0.5954336098756983,3.411879761807456
339,beundre,21,0.0,3.370662592684308,0.0,4.418509660763915
340,beundrede,12,0.0,3.2836512156946784,3.817637224836573,0.0
341,beundrer,22,0.0,3.370662592684308,0.0,0.0
342,beundret,15,0.0,4.159119953048578,0.0,0.0
343,bevare,266,0.0,1.265051333271087,0.0,0.0
